TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0006109	"regulation of carbohydrate metabolic process"	-2.712975571323302	4.302179353813202	0.06669657568364988	1	0	null
GO:0006401	"RNA catabolic process"	-2.872149764449061	5.117751737444074	0.4362086435994703	0.4868737947968884	0	null
GO:0034655	"nucleobase-containing compound catabolic process"	34655	-2.495266497889536	5.39788615281715	0.8314387407984536	0.48027571894418086	0.88497333	6401
GO:0006694	"steroid biosynthetic process"	-2.4600031411798335	4.6462468420953265	0.14729326057246497	0.640922387529958	0.15804718	null
GO:0008202	"steroid metabolic process"	-2.145483908339853	4.8927789122710825	0.25984788976451706	0.6342523762355903	0.4725869	null
